url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,genres,awards
https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose,The Name of the Rose,"Umberto Eco, ","9,504","313,306",4.13,536,1980,"['Fiction', 'Historical', 'Historical Fiction']","إمبيرتو, Premio Strega (1981), Los Angeles Times Book Prize Nominee for Fiction (1983), Edgar Award Nominee for Best Novel (1984), PEN Translation Prize for William Weaver (1984)...morePremio Anghiari (1981), Premio Il Libro dell'anno (1981), Prix Médicis Etranger (1982), このミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (1991)...less "
https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,Where the Wild Things Are,Maurice Sendak,"12,204","856,559",4.21,37,1963,"['Childrens', 'Childrens', 'Picture Books']","Caldecott Medal (1964), Lewis Carroll Shelf Award, Indies Choice Book Award for Picture Book Hall of Fame (2009)"
https://www.goodreads.com/book/show/7784.The_Lorax,The Lorax,Dr. Seuss,"4,290","300,232",4.32,72,1971,"['Childrens', 'Childrens', 'Picture Books']",California Young Readers Medal Nominee for Primary (1976)
https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory,Charlie and the Chocolate Factory,"Roald Dahl, ","12,612","702,614",4.14,176,1964,"['Childrens', 'Fiction', 'Fantasy']","Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1992), North Dakota Children's Choice Award (1985)"
https://www.goodreads.com/book/show/44767458-dune,Dune,Frank Herbert,"28,085","843,600",4.23,688,1965,"['Science Fiction', 'Fiction', 'Fantasy']","Hugo Award for Best Novel (1966), Nebula Award for Best Novel (1965), Seiun Award 星雲賞 for Best Foreign Novel (1974)"
https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,The Pillars of the Earth,Ken Follett (Goodreads Author),"32,354","672,247",4.32,976,1989,"['Historical', 'Historical Fiction', 'Fiction']",
https://www.goodreads.com/book/show/117833.The_Master_and_Margarita,The Master and Margarita,"Mikhail Bulgakov, ","12,673","259,902",4.29,372,1967,"['Classics', 'Fiction', 'Cultural']",
https://www.goodreads.com/book/show/231804.The_Outsiders,The Outsiders,S.E. Hinton (Goodreads Author),"34,862","991,119",4.10,192,1967,"['Classics', 'Young Adult', 'Fiction']","Books I Loved Best Yearly (BILBY) Awards for Secondary  (1991), Margaret A. Edwards Award (1988)"
https://www.goodreads.com/book/show/70401.On_the_Road,On the Road,Jack Kerouac,"15,542","361,429",3.62,307,1955,"['Classics', 'Fiction', 'Travel']",Grammy Award Nominee for Best Spoken Word Album (2001)
https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,The Hitchhiker's Guide to the Galaxy,Douglas Adams,"32,014","1,511,226",4.22,193,1979,"['Science Fiction', 'Fiction', 'Humor']",
