url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,places
https://www.goodreads.com/book/show/2050.Farewell_My_Lovely,"Farewell, My Lovely",Raymond Chandler,"1,755","33,699",4.13,292,1940,True,"['Mystery', 'Fiction', 'Mystery']",,United States
https://www.goodreads.com/book/show/15197.Maus_II,Maus II: A Survivor's Tale: And Here My Troubles Began,Art Spiegelman,"3,107","125,146",4.37,144,1991,True,"['Sequential Art', 'Graphic Novels', 'Sequential Art']","Harvey Awards for Best Graphic Album of Previously Published Material AND nominated for Special Award for Excellence in Presentation (1992), Los Angeles Times Book Prize for Fiction (1992), Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1993), Urhunden Prize for Foreign Album (1993), National Book Critics Circle Award Nominee for Biography/Autobiography (1991)...moreWill Eisner Comic Industry Awards for Best Graphic Album: Reprint (1992)...less ",Poland
https://www.goodreads.com/book/show/37387.The_Prime_of_Miss_Jean_Brodie_The_Girls_of_Slender_Means_The_Driver_s_Seat_The_Only_Problem,The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem,Muriel Spark,111,"1,607",3.79,512,1999,False,"['Fiction', 'Classics', 'Novels']",,
https://www.goodreads.com/book/show/11298.A_Wild_Sheep_Chase,A Wild Sheep Chase,"Haruki Murakami, ","4,980","98,492",3.94,353,1982,True,"['Fiction', 'Cultural', 'Japan']",Noma Literary Prize 野間文芸賞 for New Face Prize (1982),Japan
https://www.goodreads.com/book/show/12813565-invisible-monsters-remix,Invisible Monsters Remix,Chuck Palahniuk (Goodreads Author),"5,827","131,793",3.98,302,1999,False,"['Fiction', 'Contemporary', 'Thriller']",,
https://www.goodreads.com/book/show/26114.The_Joke,The Joke,Milan Kundera,"1,283","28,373",4.02,371,1967,False,"['Fiction', 'European Literature', 'Czech Literature']",,
https://www.goodreads.com/book/show/3579.The_Complete_Anne_of_Green_Gables_Boxed_Set,The Complete Anne of Green Gables Boxed Set,L.M. Montgomery,"1,584","101,881",4.44,2088,1921,True,"['Classics', 'Fiction', 'Young Adult']",,
https://www.goodreads.com/book/show/93575.Gaudy_Night,Gaudy Night,Dorothy L. Sayers,"1,838","24,472",4.23,501,1935,True,"['Mystery', 'Fiction', 'Mystery']",Anthony Award Nominee for Best Novel of the Century (2000),
https://www.goodreads.com/book/show/61539.The_Structure_of_Scientific_Revolutions,The Structure of Scientific Revolutions,Thomas S. Kuhn,"1,229","23,142",4.02,226,1962,False,"['Science', 'Philosophy', 'Nonfiction']",,
https://www.goodreads.com/book/show/2517.My_Name_Is_Red,My Name Is Red,"Orhan Pamuk, ","4,293","47,109",3.86,417,1998,False,"['Fiction', 'Historical', 'Historical Fiction']","Magnesia Litera for Translation (Litera za překladovou knihu) (2008), Prix du Meilleur Livre Étranger for Roman (2002), Premio Grinzane Cavour for Narrativa Straniera (2002), UBL Literary Award for Urdu Translation (2015), International Dublin Literary Award (2003)...moreMetų verstinė knyga Nominee (2012)...less ",Turkey
https://www.goodreads.com/book/show/12187.Ada_or_Ardor,"Ada, or Ardor: A Family Chronicle",Vladimir Nabokov,776,"9,803",4.14,606,1969,False,"['Fiction', 'Classics', 'Cultural']",,
https://www.goodreads.com/book/show/127586.The_White_Dragon,The White Dragon,Anne McCaffrey,868,"43,547",4.18,468,1978,True,"['Fantasy', 'Science Fiction', 'Fantasy']","Hugo Award Nominee for Best Novel (1979), Locus Award Nominee for Best SF Novel (1979), Ditmar Award for Best International Long Fiction (1979), Gandalf Award (1979), Balrog Award Nominee for Best Novel (1979)...moreThe ESFS Award for Novel (1980), Margaret A. Edwards Award (1999)...less ",
https://www.goodreads.com/book/show/89370.Tao_of_Pooh_and_Te_of_Piglet_Boxed_Set,Tao of Pooh and Te of Piglet Boxed Set,Benjamin Hoff,534,"12,546",4.12,380,1992,True,"['Nonfiction', 'Philosophy', 'Spirituality']",,United Kingdom
https://www.goodreads.com/book/show/10033.Being_and_Nothingness,Being and Nothingness,"Jean-Paul Sartre, ",426,"26,915",3.97,688,1943,False,"['Philosophy', 'Nonfiction', 'Classics']",,
https://www.goodreads.com/book/show/49256.The_Unabridged_Devil_s_Dictionary,The Unabridged Devil's Dictionary,"Ambrose Bierce, ",626,"9,762",4.08,404,1906,False,"['Humor', 'Nonfiction', 'Classics']",,
https://www.goodreads.com/book/show/14064.I_Am_Legend,I Am Legend,Richard Matheson,"6,488","102,291",4.07,160,1954,False,"['Horror', 'Science Fiction', 'Fiction']",Tähtivaeltaja Award (2008),United States
https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,Assassin's Apprentice,Robin Hobb (Goodreads Author),"10,754","249,136",4.15,435,1995,True,"['Fantasy', 'Fiction', 'Fantasy']","Locus Award Nominee for Fantasy (1996), British Fantasy Award Nominee for Best Novel (1997), Compton Crook Award (1996)) Nominee (1996)",
https://www.goodreads.com/book/show/31548.Of_Human_Bondage,Of Human Bondage,"W. Somerset Maugham, ","3,332","52,458",4.10,684,1915,False,"['Classics', 'Fiction', 'Literature']",,United Kingdom
https://www.goodreads.com/book/show/22478.The_Origin_of_Consciousness_in_the_Breakdown_of_the_Bicameral_Mind,The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,547,"4,475",4.25,491,1976,False,"['Psychology', 'Philosophy', 'Nonfiction']",National Book Award Finalist for Contemporary Thought (1978),
https://www.goodreads.com/book/show/14185.The_Three_Stigmata_of_Palmer_Eldritch,The Three Stigmata of Palmer Eldritch,Philip K. Dick,"1,659","32,958",4.01,231,1965,False,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy']",Nebula Award Nominee for Best Novel (1965),
https://www.goodreads.com/book/show/34484.Small_Gods,Small Gods,Terry Pratchett,"3,074","102,450",4.30,400,1992,True,"['Fantasy', 'Fiction', 'Humor']",,
https://www.goodreads.com/book/show/567704.Imajica,Imajica,Clive Barker (Goodreads Author),916,"20,991",4.17,823,1991,False,"['Fantasy', 'Horror', 'Fiction']",Prix Julia Verlanger (1997),
https://www.goodreads.com/book/show/44028.The_Angela_s_Ashes_Tis_Boxed_Set,The Angela's Ashes/'Tis Boxed Set,Frank McCourt,72,"1,501",4.11,736,1996,False,"['Nonfiction', 'Autobiography', 'Memoir']",,
https://www.goodreads.com/book/show/497199.Factotum,Factotum,Charles Bukowski,"1,945","64,144",3.94,208,1975,False,"['Fiction', 'Classics', 'Thriller']",,United States
https://www.goodreads.com/book/show/59780.Cosmicomics,Cosmicomics,"Italo Calvino, ",994,"15,533",4.19,153,1965,False,"['Fiction', 'Short Stories', 'Fantasy']",National Book Award for Translation (1969),
https://www.goodreads.com/book/show/36236123-survivor,Survivor,Chuck Palahniuk (Goodreads Author),"3,688","111,240",3.91,304,1999,False,"['Fiction', 'Contemporary', 'Thriller']",Oregon Book Award Nominee for Fiction (Finalist) (1999),
https://www.goodreads.com/book/show/174834.The_Cost_of_Discipleship,The Cost of Discipleship,Dietrich Bonhoeffer,"1,230","36,855",4.28,320,1937,False,"['Christian', 'Religion', 'Theology']",,
https://www.goodreads.com/book/show/348225.These_Is_My_Words,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories",Nancy E. Turner,"10,588","67,618",4.34,384,1998,True,"['Historical', 'Historical Fiction', 'Fiction']",,United States
https://www.goodreads.com/book/show/762806.Gorky_Park,Gorky Park,Martin Cruz Smith,"1,214","64,735",4.04,433,1981,True,"['Mystery', 'Fiction', 'Thriller']","CWA Gold Dagger Award for Fiction (1981), The CWA Dagger of Daggers Nominee (2005), CWA Best Ever Nominee for Crime Novel (2013)",Russian Federation
https://www.goodreads.com/book/show/113304.The_Thief_Lord,The Thief Lord,Cornelia Funke (Goodreads Author),"4,050","89,399",3.96,350,2000,False,"['Fantasy', 'Young Adult', 'Fiction']","Book Sense Book of the Year Award for Children's Literature (2003), Batchelder Award (2003), Zilveren Griffel (2004), Grand Canyon Reader Award for Teen Book (2004), Massachusetts Children's Book Award (2005)...moreZurich Children's Book Award (2000), The Children's Book Award from the Vienna House of Literature (2001), Pacific Northwest Library Association Young Reader's Choice Award for Junior (2005), Literaturpreis der Jury der jungen Leser for Kinderbuch (2001), Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2003), Premi Protagonista Jove for Categoria 13-14 anys (2004)...less ",Italy
https://www.goodreads.com/book/show/63832.Blue_Highways,Blue Highways,William Least Heat-Moon,"1,214","21,567",4.02,428,1982,True,"['Travel', 'Nonfiction', 'Autobiography']",,
https://www.goodreads.com/book/show/7669.Timeline,Timeline,Michael Crichton,"4,790","195,534",3.85,489,1999,False,"['Science Fiction', 'Fiction', 'Thriller']",,
https://www.goodreads.com/book/show/3562.Emily_of_New_Moon,Emily of New Moon,L.M. Montgomery,"1,930","44,422",4.09,339,1923,True,"['Classics', 'Fiction', 'Young Adult']",,Canada
https://www.goodreads.com/book/show/32979.The_Secret_of_the_Old_Clock,The Secret of the Old Clock,"Carolyn Keene, ","3,805","68,332",3.98,210,1930,True,"['Mystery', 'Young Adult', 'Fiction']",,
https://www.goodreads.com/book/show/57913.The_Illuminatus_Trilogy,The Illuminatus! Trilogy,"Robert Shea, ",833,"14,653",4.01,805,1975,True,"['Fiction', 'Science Fiction', 'Fantasy']",Prometheus Hall of Fame Award (1986),
https://www.goodreads.com/book/show/427282.The_Periodic_Table,The Periodic Table,"Primo Levi, ",952,"12,434",4.17,233,1975,False,"['Nonfiction', 'Science', 'History']",,Italy
https://www.goodreads.com/book/show/9570.Another_Roadside_Attraction,Another Roadside Attraction,Tom Robbins,974,"31,774",3.99,366,1971,False,"['Fiction', 'Humor', 'Novels']",Washington State Book Award (1972),United States
https://www.goodreads.com/book/show/12661.Chesapeake,Chesapeake,James A. Michener,891,"22,830",4.19,1024,1978,False,"['Fiction', 'Historical', 'Historical Fiction']",,United States
https://www.goodreads.com/book/show/240976.The_Book_of_Laughter_and_Forgetting,The Book of Laughter and Forgetting,"Milan Kundera, ","2,091","41,937",3.99,313,1979,False,"['Fiction', 'European Literature', 'Czech Literature']",Los Angeles Times Book Prize for Fiction (1984),Czech Republic
https://www.goodreads.com/book/show/99208.The_Monkey_Wrench_Gang,The Monkey Wrench Gang,Edward Abbey,"1,449","22,113",4.09,421,1975,True,"['Fiction', 'Environment', 'Nature']",,United States
https://www.goodreads.com/book/show/8722.Burr,Burr,Gore Vidal,690,"8,875",4.07,430,1973,True,"['Historical', 'Historical Fiction', 'Fiction']",National Book Award Finalist for Fiction (1974),
https://www.goodreads.com/book/show/5198.Paradise,Paradise,Toni Morrison,"1,191","23,714",3.82,318,1997,True,"['Fiction', 'Classics', 'Cultural']","Orange Prize Nominee for Fiction Shortlist (1999), Ohioana Book Award for Fiction (1999), International Dublin Literary Award Nominee for Shortlist (2000)",
https://www.goodreads.com/book/show/92163.Sarum,Sarum: The Novel of England,Edward Rutherfurd (Goodreads Author),"1,566","41,434",4.06,912,1987,False,"['Historical', 'Historical Fiction', 'Fiction']",,
